SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
517380,IGARSHI MOT ,B ,Q,837.60,864.90,825.10,845.15,864.90,823.85,137,1614,1358362.00,
517385,SYMPHONY    ,A ,Q,1771.05,1810.05,1771.00,1796.35,1798.65,1794.70,268,2217,3981919.00,
517411,SHYAM TELEC.,B ,Q,14.20,14.20,13.50,13.50,13.50,14.20,5,550,7635.00,
517415,LEE&NEE SOFT,XT,Q,2.67,2.67,2.55,2.64,2.57,2.68,14,7856,20461.00,
517417,PATEL AIRTEM,X ,Q,166.05,171.80,166.05,170.05,170.10,168.00,29,1188,201202.00,
517421,BFLYGANDHI  ,B ,Q,584.60,594.00,537.10,545.35,545.35,545.95,1642,22809,12864152.00,
517429,ATHENAGLO   ,XT,Q,16.50,16.50,16.50,16.50,16.50,15.75,3,666,10989.00,
517437,DUTRON POLY.,XT,Q,129.50,129.50,117.65,122.05,117.65,123.80,7,387,47270.00,
517447,R.S.SOFTWARE,B ,Q,53.40,53.95,52.35,52.70,52.35,52.70,136,10913,577858.00,
517449,MAGNA ELECTR,X ,Q,169.00,174.40,169.00,172.70,172.00,172.60,26,1693,290738.00,
517467,MARSONS     ,XT,Q,3.60,3.60,3.27,3.35,3.35,3.43,10,1701,5627.00,
517477,ELNET TECH. ,X ,Q,149.50,153.00,149.00,151.05,151.05,149.95,23,2583,389204.00,
517481,APTL        ,XT,Q,4.38,4.56,4.37,4.56,4.56,4.40,13,2637,11638.00,
517498,WEBELSOLAR  ,B ,Q,83.20,84.80,82.00,82.70,82.70,84.05,273,33688,2797418.00,
517500,ROTO PUMPS  ,X ,Q,112.30,113.00,110.80,110.95,110.80,112.30,92,6448,720198.00,
517506,TTK PRESTIGE,A ,Q,6459.80,6459.80,6160.00,6266.95,6266.95,6264.70,371,1988,12573399.00,
517514,DHINDIA     ,XT,Q,19.05,20.90,19.00,20.00,20.00,19.95,13,2087,40853.00,
517518,LEEL        ,B ,Q,231.10,237.85,226.85,229.35,229.90,232.60,249,9820,2284116.00,
517522,RAJ GLO WIR ,X ,Q,569.90,569.90,550.30,553.60,552.00,560.00,82,17711,9883356.00,
517530,SURANATP    ,B ,Q,4.80,5.00,4.75,4.88,4.96,4.88,17,9094,44130.00,
517536,ONWARD TECHN,B ,Q,89.00,90.45,86.10,86.65,86.85,88.15,102,7360,645821.00,
517544,CENTUM ELEC ,B ,Q,526.55,544.00,523.10,532.45,524.00,533.75,66,824,436703.00,
517546,ALFA TRANSFO,XT,Q,40.60,40.60,38.05,40.60,40.60,40.00,8,1416,57483.00,
517548,STARLITE COM,X ,Q,46.05,49.60,45.15,46.45,46.45,46.05,322,133394,6366802.00,
517552,ADVANCED MIC,Z ,Q,6.48,6.48,6.40,6.48,6.48,6.28,5,79,510.00,
517554,NHCFOODS    ,XT,Q,12.05,13.00,12.05,12.80,12.80,12.55,25,3573,44954.00,
517556,PVP VENT LTD,B ,Q,5.80,5.80,5.52,5.62,5.55,5.75,54,31811,180072.00,
517562,TRIGYN TECH ,B ,Q,159.45,161.80,152.05,153.45,153.45,157.50,240,11824,1851256.00,
517569,KEI INDUST. ,B ,Q,428.05,432.20,421.00,428.65,429.15,426.60,301,10527,4488134.00,
517571,IMPPOWERS   ,B ,Q,92.05,93.00,92.05,93.00,93.00,95.00,2,190,17575.00,
518011,KEERTHI     ,XT,Q,125.00,132.00,125.00,131.45,131.45,131.40,11,427,54799.00,
518029,GUJ.SIDH.CEM,T ,Q,30.95,31.45,30.90,31.25,30.90,30.85,38,5761,178919.00,
518091,ANJANI PORTL,B ,Q,195.00,199.85,191.05,191.15,191.15,190.05,16,916,178712.00,
519003,MODINATURAL ,X ,Q,88.00,95.00,88.00,90.05,90.00,90.00,28,4529,406450.00,
519031,SHAH FOOD(P),XT,Q,129.20,142.80,129.20,139.35,142.80,136.00,9,104,14481.00,
519091,TASTY BITE  ,B ,Q,8796.60,8909.95,8680.10,8692.60,8710.00,8656.40,99,329,2886942.00,
